Sales
8722
9291
11495
11301
11254
11231
11031
11894
10903
12128
13372
19850
9275
9609
11892
12241
11956
11928
11860
12682
12184
12709
14091
20942
10102
10295
13277
12487
13141
12530
12251
13444
12279
12914
14978
20350
10230
10842
12928
12397
13506
12304
12551
13475
11636
12313
13867
18279
9896
10288
11505
12058
12472
11285
11791
12702
11503
12745
13548
18332
9663
10332
12842
12623
12840
11898
12410
12900
12064
12899
14802
19652
9929
11124
13420
13567
13354
12980
13131
13601
13143
13502
15493
21283
10435
12348
14890
13709
14284
13731
13434
14844
13415
13934
16214
21145
11042
11968
15037
13808
14836
13820
14013
15309
13184
14512
16440
21265
10839
11841
14549
14701
15331
13751
14391
15565
13608
14919
17463
22234
11350
12313
15126
14782
15821
14278
14932
15851
14005
15277
17044
22357
11338
12861
15565
14687
15385
14706
15008
15791
14498
15168
17330
23388
11511
12357
15375
15288
15593
14998
14978
15928
14328
14968
17937
22914
11357
12620
16002
14597
16850
15352
15543
16205
14374
15449
18621
22994
11641
12184
15783
15381
16399
15317
15540
16556
13993
15660
18472
23780
11952
13057
7405
1690
5283
10698
11747
12452
12458
13624
14467
19279
10230
10263
15826
15641
17124
16731
17298
16644
15240
16555
19545
23806
11895
12692
16877
17041
17571
16489
16692
16902
15700
16852
19524
25046
13006
13678
16871
16843
17577
16711
17278
18044
16221
16795
20028
25954
12991
14492
17315
16628
18808
17406
17528
18518
15870
17564
21142
26462
